"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"25-0055758","2025 Oct 06 05:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"25-0002313","2025 Oct 05 01:57:00 PM","Murder","09A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0061413","2025 Nov 03 11:05:00 AM","Murder","09A","Person","true","Field / Woods","Prince George's County Police","20740","I","B6","0218","COLLEGE PARK"
"25-0046894","2025 Aug 22 11:35:00 AM","Murder","09A","Person","true","Residence / Home","Bowie City Police","20715","II","D41","0834","BOWIE"
"25-0026544","2025 May 18 03:50:56 PM","Murder","09A","Person","true","Residence / Home","Bowie City Police","20715","II","D41","0824","BOWIE"
"25-0023136","2025 May 01 10:09:03 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20785","III","G4","0315","PG COUNTY"
"26-0032723","2026 Jun 19 11:05:00 PM","Murder","09A","Person","true","Other / Unknown","Prince George's County Police","20743","III","G3","0304","PG COUNTY"
"26-0000396","2026 Jan 03 02:05:00 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"26-0018909","2026 Apr 10 04:37:12 PM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20748","IV","K4","0443","PG COUNTY"
"25-0028569","2025 May 27 09:34:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","IV","K6","0605","PG COUNTY"
"25-0013484","2025 Mar 15 10:15:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20745","IV","J1","0515","PG COUNTY"
"24-0068762","2024 Nov 16 10:00:21 PM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20745","IV","J5","0603","PG COUNTY"
"25-0008796","2025 Feb 18 09:14:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20708","VI","C4","0868","PG COUNTY"
"25-0043761","2025 Aug 08 12:03:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20607","VII","W2","0652","PG COUNTY"
"25-0021694","2025 Apr 24 08:25:10 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20746","VIII","H5","0419","PG COUNTY"
"25-0029980","2025 Jun 03 12:38:17 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0427","PG COUNTY"
"26-0009288","2026 Feb 23 11:21:09 AM","Murder","09A","Person","true","Other / Unknown","Prince George's County Police","20743","VIII","H2","0416","PG COUNTY"
"26-0001894","2026 Aug 03 07:00:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0033945","2026 Jun 26 03:00:00 AM","Rape","11B","Person","true","Convenience Store","Prince George's County Police","20710","I","B1","2221","BLADENSBURG"
"26-0000933","2026 Jun 26 03:00:00 AM","Rape","11A","Person","true","Convenience Store","Bladensburg Police","20710","I","B2","02650","BLADENSBURG"
"25-0052565","2025 Sep 21 04:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20785","I","B11","0313","CHEVERLY"
"25-0039535","2025 Jul 19 01:00:50 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0114","PG COUNTY"
"26-0008084","2025 Mar 03 01:00:00 AM","Rape","11A","Person","true","Parking Lot / Garage","Bladensburg Police","20710","I","B28","0241","BLADENSBURG"
"24-0002235","2024 Sep 17 09:04:00 PM","Rape","11A","Person","true","Residence/Home","Hyattsville City Police","20782","I","B2","01332","HYATTSVILLE"
"26-0000263","2026 Jan 02 07:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20706","I","B5","0238","PG COUNTY"
"26-0001040","2026 Jun 28 06:01:00 PM","Rape","11A","Person","true","Residence / Home","Bladensburg Police","20710","I","B2","02650","BLADENSBURG"
"25-0045873","2025 Aug 16 06:58:33 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"24-0065553","2024 Nov 02 10:50:00 PM","Rape","11B","Person","true","Residence/Home","Bowie City Police","20715","II","D41","0834","BOWIE"
"26-0027686","2026 May 25 05:52:00 PM","Rape","11B","Person","true","Jail / Prison / Penitentiary / Corrections Facility","Prince George's County Police","20772","II","E4","0717","PG COUNTY"
"24-0056826","2024 Sep 23 01:30:00 PM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"26-0002222","2026 Aug 06 09:00:00 PM","Rape","11A","Person","true","Residence / Home","Bowie City Police","20720","II","BP1","","BOWIE"
"26-0020714","2026 Apr 19 11:00:00 AM","Rape","11A","Person","false","Residence / Home","Prince George's County Police","20706","II","D6","0840","PG COUNTY"
"25-0007585","2025 Feb 10 03:00:00 AM","Rape","11A","Person","true","Residence / Home","Bowie City Police","20715","II","D41","0822","BOWIE"
"25-0066189","2025 Nov 26 03:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E5","0710","PG COUNTY"
"26-0013082","2026 Mar 13 08:00:00 AM","Rape","11A","Person","true","Other / Unknown","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"25-0012883","2024 Dec 24 05:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"24-0056742","2024 Sep 25 06:46:00 AM","Murder","09A","Person","true","Park/Playground","Bladensburg Police","20710","I","B28","0264","PG COUNTY"
"24-0054425","2024 Sep 14 03:55:47 PM","Murder","09A","Person","true","Field/Woods","Prince George's County Police","20903","I","A7","0104","PG COUNTY"
"24-0074759","2024 Dec 15 10:51:50 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20770","II","D1","0886","PG COUNTY"
"24-0065916","2024 Nov 04 05:55:46 PM","Murder","09A","Person","true","Residence/Home","Prince George's County Police","20785","III","G5","0317","PG COUNTY"
"26-0001534","2026 Jan 08 11:36:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"24-0057308","2024 Sep 27 07:41:00 PM","Murder","09A","Person","true","Liquor Store","Prince George's County Police","20745","IV","J1","0514","PG COUNTY"
"25-0017083","2025 Apr 02 09:29:00 AM","Murder","09A","Person","true","Shopping Mall","Prince George's County Police","20748","IV","K2","0501","PG COUNTY"
"25-0009007","2025 Feb 19 11:02:04 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20748","IV","K3","0507","PG COUNTY"
"24-0070767","2024 Nov 26 02:30:00 AM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20745","IV","J5","0656","PG COUNTY"
"25-0070125","2025 Dec 19 12:13:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","IV","K6","0615","PG COUNTY"
"25-0025346","2025 May 12 09:40:45 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20735","V","F4","0631","PG COUNTY"
"25-0033452","2025 Jun 19 08:58:13 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20708","VI","C4","0801","PG COUNTY"
"25-0068404","2025 Dec 09 09:53:00 PM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20735","VII","W5","","PG COUNTY"
"24-0076019","2024 Dec 21 04:15:02 PM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20743","VIII","H3","0411","PG COUNTY"
"26-0003352","2026 Jan 18 11:16:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0426","PG COUNTY"
"26-0033867","2026 Jun 25 11:08:52 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20745","IX","J41","6010","PG COUNTY"
"25-0054022","2025 Sep 27 04:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A7","0104","PG COUNTY"
"24-0003039","2024 Nov 23 05:55:00 AM","Rape","11A","Person","true","Residence/Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"24-0002865","2024 Nov 06 05:21:00 AM","Rape","11A","Person","true","Residence/Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"24-0002056","2024 Aug 25 09:00:00 PM","Rape","11A","Person","true","Residence/Home","Hyattsville City Police","20781","I","C3","01603","HYATTSVILLE"
"25-0020523","2025 Apr 19 02:55:24 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20784","I","B1","2221","PG COUNTY"
"25-0062394","2025 Oct 27 08:16:47 PM","Rape","11A","Person","true","Other / Unknown","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"25-0064613","2025 Apr 26 12:01:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0108","PG COUNTY"
"25-0047039","2025 Aug 24 03:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20912","I","A3","0124","PG COUNTY"
"26-0041331","2026 Jun 28 12:04:05 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20784","I","B2","0815","PG COUNTY"
"26-0036548","2026 Jul 09 11:40:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0042392","2026 Aug 06 09:00:00 PM","Rape","11A","Person","true","Residence / Home","Bowie City Police","20720","II","D21","0816","BOWIE"
"25-0067062","2025 Nov 12 08:30:00 AM","Rape","11A","Person","true","Elementary / Secondary School","Prince George's County Police","20772","II","E4","0716","PG COUNTY"
"26-0009316","2026 Feb 23 01:25:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20769","II","D5","0830","PG COUNTY"
"26-0026423","2026 May 17 12:45:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"24-0003202","2024 Nov 02 10:50:00 PM","Rape","11A","Person","false","Residence/Home","Bowie City Police","20715","II","BP3","","BOWIE"
"24-0052415","2024 Sep 28 12:00:00 AM","Rape","11B","Person","true","Residence / Home","Bowie City Police","20715","II","D48","2211","BOWIE"
"25-0042643","2025 Mar 07 12:08:04 PM","Rape","11A","Person","true","Elementary / Secondary School","Prince George's County Police","20715","II","D31","0720","BOWIE"
"25-0052712","2025 Sep 22 12:15:37 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20706","II","D5","0828","PG COUNTY"
"26-0019432","2026 Apr 13 11:22:45 AM","Rape","11A","Person","true","Highway / Road / Alley","Prince George's County Police","20774","II","E4","0709","PG COUNTY"
"24-0058120","2024 Aug 20 10:00:00 AM","Rape","11A","Person","true","Residence/Home","Bowie City Police","20716","II","E11","0849","BOWIE"
"25-0002310","2025 Oct 04 04:45:26 PM","Murder","09A","Person","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0002128","2025 Sep 12 09:24:47 PM","Murder","09A","Person","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"24-0064677","2024 Oct 30 12:00:00 PM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20774","II","E5","0703","PG COUNTY"
"26-0029173","2026 Jun 02 07:15:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20774","II","E3","0701","PG COUNTY"
"24-0051352","2024 Aug 31 07:20:13 PM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20785","III","G6","0307","PG COUNTY"
"24-0060189","2024 Oct 10 05:48:39 PM","Murder","09A","Person","true","Specialty Store (TV, Fur, Etc.)","Prince George's County Police","20748","IV","K3","","PG COUNTY"
"25-0016210","2025 Mar 28 10:41:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20746","IV","K3","0431","PG COUNTY"
"25-0071432","2025 Dec 27 12:30:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20746","IV","K4","0769","PG COUNTY"
"25-0058220","2025 Oct 18 07:30:53 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20745","IV","J5","0603","PG COUNTY"
"25-0039740","2025 Jul 20 11:26:00 AM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20735","V","F4","0634","PG COUNTY"
"25-0016034","2025 Mar 28 07:06:14 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20735","V","F2","0623","PG COUNTY"
"25-0050385","2025 Sep 10 12:14:00 AM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20772","V","F6","0734","PG COUNTY"
"25-0048620","2025 Sep 01 06:20:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20746","VIII","H5","0419","PG COUNTY"
"24-0055831","2024 Sep 21 01:00:00 AM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20743","VIII","H1","0403","PG COUNTY"
"24-0055386","2024 Sep 19 05:42:00 AM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20740","I","B63","0206","COLLEGE PARK"
"26-0001901","2026 Jan 09 03:30:00 PM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"25-0058339","2025 Oct 18 09:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A7","2221","PG COUNTY"
"26-0034985","2025 Jul 22 12:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20740","I","B2","7939","COLLEGE PARK"
"25-0000102","2025 Jan 15 12:51:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0011646","2025 Mar 06 11:40:55 AM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","B7","0207","GREENBELT"
"25-0045545","2025 Aug 17 02:30:47 AM","Rape","11A","Person","true","Parking Lot / Garage","Prince George's County Police","20783","I","A6","0114","PG COUNTY"
"24-0065489","2024 Nov 01 01:00:00 AM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20740","I","B63","0219","COLLEGE PARK"
"25-0018971","2025 Apr 11 06:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"25-0045494","2025 Aug 16 07:28:57 PM","Rape","11A","Person","true","Park / Playground","Prince George's County Police","20721","II","E6","0860","PG COUNTY"
"25-0022213","2025 Apr 13 01:00:00 AM","Rape","11A","Person","true","Parking Lot / Garage","Prince George's County Police","20774","II","E4","0709","PG COUNTY"
"24-0057389","2024 Sep 04 11:20:06 AM","Rape","11A","Person","true","Residence/Home","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"26-0000083","2025 Dec 24 12:00:00 AM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","II","GB3","0813","GREENBELT"
"25-0049071","2025 Sep 01 08:35:19 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20720","II","D5","0844","PG COUNTY"
"25-0030906","2025 Jun 07 12:00:00 PM","Rape","11A","Person","false","Residence / Home","Prince George's County Police","20772","II","E4","0715","PG COUNTY"
"25-0056311","2025 Oct 07 02:00:00 PM","Rape","11B","Person","true","Elementary / Secondary School","Prince George's County Police","20772","II","E4","0716","PG COUNTY"
"25-0009339","2025 Feb 18 09:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"25-0045853","2025 Aug 18 05:00:00 AM","Rape","11B","Person","true","Government / Public Building","Prince George's County Police","20721","II","D6","0846","PG COUNTY"
"24-0077561","2024 Dec 29 05:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"24-0059542","2024 Oct 06 01:00:00 AM","Rape","11A","Person","true","Highway/Road/Alley","Prince George's County Police","20785","III","G4","0314","PG COUNTY"
"26-0018347","2026 Mar 20 08:00:00 PM","Rape","11A","Person","false","Residence / Home","Prince George's County Police","20785","III","G4","0313","PG COUNTY"
"26-0026278","2026 Apr 26 08:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20720","II","D3","0872","PG COUNTY"
"24-0073400","2024 Dec 07 07:00:00 AM","Rape","11A","Person","false","Residence/Home","Prince George's County Police","20706","II","D2","0827","PG COUNTY"
"25-0065897","2025 Nov 25 07:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"25-0010831","2025 Mar 01 03:00:00 AM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20743","III","G7","0207","PG COUNTY"
"26-0000972","2025 Jul 01 12:00:00 AM","Rape","11C","Person","true","Residence / Home","Prince George's County Police","20785","III","G5","0327","PG COUNTY"
"25-0008986","2025 Jan 25 05:00:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20743","III","G3","0305","PG COUNTY"
"26-0000749","2026 Jan 02 09:00:00 AM","Rape","11C","Person","true","Residence / Home","Prince George's County Police","20745","IV","J1","0516","PG COUNTY"
